I predcicted 15/15 correctly.

Predicted output:                                      | Actual output:
35                                                     |35
8                                                      |8
6                                                      |6
3 9                                                    |3 9
40                                                     |40
4                                                      |4 
10 3 30                                                |10 3 30
3 4                                                    |3 4
2 5 8 11                                               |2 5 8 11
0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0              |0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0
                                                       |
                                                       |
10                                                     |10
15 10                                                  |15 10     
15 15                                                  |15 15    
